ID,author,tp,n1,tn,n2,fp,fn,TP,TN,FP,FN,screen_positive,pos,tot,ref_std,prev_std,test
all,Affolabi,59,85,1973,2681,708,26,59,1973,708,26,0.277295733911786,767,2766,cult_other,3,who
all,Ahmad,45,57,268,554,286,12,45,268,286,12,0.541734860883797,331,611,cult_other,9,who
all,Al Darraji,11,15,36,110,74,4,11,36,74,4,0.68,85,125,cult_other,12,who
all,Balcha,115,124,151,685,534,9,115,151,534,9,0.802224969097651,649,809,cult,15,who
all,Bjerrum,35,37,33,357,324,2,35,33,324,2,0.911167512690355,359,394,cult_other,9,who
all,Gersh,0,5,335,382,47,5,0,335,47,5,0.121447028423773,47,387,cult_other,1,who
all,Hanifa,61,64,17,287,270,3,61,17,270,3,0.943019943019943,331,351,cult_other,18,who
all,Hoffmann,10,35,1152,1369,217,25,10,1152,217,25,0.161680911680912,227,1404,cult_other,2,who
all,Kemper,11,12,40,90,50,1,11,40,50,1,0.598039215686275,61,102,cult_other,12,who
all,Kerkhoff,83,89,65,433,368,6,83,65,368,6,0.863984674329502,451,522,cult_other,17,who
all,Kufa,24,24,60,391,331,0,24,60,331,0,0.855421686746988,355,415,cult,6,who
all,LaCourse,3,7,231,285,54,4,3,231,54,4,0.195205479452055,57,292,cult_other,2,who
all,Mbu,121,131,118,809,691,10,121,118,691,10,0.863829787234043,812,940,cult_other,14,who
all,Modi,52,72,333,647,314,20,52,333,314,20,0.50904033379694,366,719,cult_other,10,who
all,Nguyen,14,28,236,369,133,14,14,236,133,14,0.370277078085642,147,397,cult_other,7,who
all,Rangaka,50,126,1147,1303,156,76,50,1147,156,76,0.144156752974108,206,1429,cult_other,9,who
all,Reeve,69,93,339,703,364,24,69,339,364,24,0.543969849246231,433,796,cult_other,12,who
all,Shapiro,38,42,142,383,241,4,38,142,241,4,0.656470588235294,279,425,cult_other,10,who
all,Swindells,49,56,237,669,432,7,49,237,432,7,0.663448275862069,481,725,cult_other,8,who
all,Thit,8,10,238,453,215,2,8,238,215,2,0.481641468682505,223,463,cult_other,2,who
