ID,author,tp,n1,tn,n2,fp,fn,TP,TN,FP,FN,screen_positive,pos,tot,ref_std,prev_std,test
all,Affolabi,79,118,1986,2687,701,39,79,1986,701,39,0.27807486631016,780,2805,cult_other,4,who
all,Ahmad,45,57,268,554,286,12,45,268,286,12,0.541734860883797,331,611,cult_other,9,who
all,Al Darraji,11,15,36,110,74,4,11,36,74,4,0.68,85,125,cult_other,12,who
all,Balcha,127,137,151,675,524,10,127,151,524,10,0.801724137931035,651,812,cult,17,who
all,Bjerrum,38,40,33,354,321,2,38,33,321,2,0.911167512690355,359,394,cult_other,10,who
all,Gersh,0,8,332,379,47,8,0,332,47,8,0.121447028423773,47,387,cult_other,2,who
all,Hanifa,61,64,17,287,270,3,61,17,270,3,0.943019943019943,331,351,cult_other,18,who
all,Hoffmann,10,35,1152,1369,217,25,10,1152,217,25,0.161680911680912,227,1404,cult_other,2,who
all,Kemper,14,15,40,88,48,1,14,40,48,1,0.601941747572815,62,103,cult_other,15,who
all,Kerkhoff,89,95,65,428,363,6,89,65,363,6,0.864244741873805,452,523,cult_other,18,who
all,Kufa,24,24,60,391,331,0,24,60,331,0,0.855421686746988,355,415,cult,6,who
all,LaCourse,3,8,230,284,54,5,3,230,54,5,0.195205479452055,57,292,cult_other,3,who
all,Mbu,121,131,118,809,691,10,121,118,691,10,0.863829787234043,812,940,cult_other,14,who
all,Modi,57,79,331,640,309,22,57,331,309,22,0.50904033379694,366,719,cult_other,11,who
all,Nguyen,14,28,236,369,133,14,14,236,133,14,0.370277078085642,147,397,cult_other,7,who
all,Rangaka,50,126,1147,1303,156,76,50,1147,156,76,0.144156752974108,206,1429,cult_other,9,who
all,Reeve,73,100,338,707,369,27,73,338,369,27,0.547707558859975,442,807,cult_other,12,who
all,Shapiro,38,42,142,383,241,4,38,142,241,4,0.656470588235294,279,425,cult_other,10,who
all,Swindells,49,56,237,669,432,7,49,237,432,7,0.663448275862069,481,725,cult_other,8,who
all,Thit,27,30,237,433,196,3,27,237,196,3,0.481641468682505,223,463,cult_other,6,who
all,Yoon,233,242,181,1283,1102,9,233,181,1102,9,0.875409836065574,1335,1525,cult_other,16,who
art,Affolabi,20,44,1438,1764,326,24,20,1438,326,24,0.191371681415929,346,1808,cult_other,2,who
art,Ahmad,14,24,220,399,179,10,14,220,179,10,0.456264775413712,193,423,cult_other,6,who
art,Gersh,0,8,328,375,47,8,0,328,47,8,0.122715404699739,47,383,cult_other,2,who
art,Hoffmann,0,0,1,2,1,0,0,1,1,0,0.5,1,2,cult_other,0,who
