ID,author,tp,n1,tn,n2,fp,fn,TP,TN,FP,FN,screen_positive,pos,tot,ref_std,prev_std,test
all,Gersh,0,5,377,377,0,5,0,377,0,5,0,0,382,cult_other,1,who_then_xpert
all,Kerkhoff,59,86,410,416,6,27,59,410,6,27,0.129482071713147,65,502,cult_other,17,who_then_xpert
all,Reeve,46,89,598,601,3,43,46,598,3,43,0.0710144927536232,49,690,cult_other,13,who_then_xpert
all,Yoon,131,232,1283,1293,10,101,131,1283,10,101,0.0924590163934426,141,1525,cult_other,15,who_then_xpert
art,Gersh,0,5,373,373,0,5,0,373,0,5,0,0,378,cult_other,1,who_then_xpert
noart,Gersh,0,0,1,1,0,0,0,1,0,0,0,0,1,cult_other,0,who_then_xpert
noart,Kerkhoff,59,86,410,416,6,27,59,410,6,27,0.129482071713147,65,502,cult_other,17,who_then_xpert
noart,Reeve,46,89,598,601,3,43,46,598,3,43,0.0710144927536232,49,690,cult_other,13,who_then_xpert
noart,Yoon,131,232,1283,1293,10,101,131,1283,10,101,0.0924590163934426,141,1525,cult_other,15,who_then_xpert
cd4_less_200,Gersh,0,2,41,41,0,2,0,41,0,2,0,0,43,cult_other,5,who_then_xpert
cd4_less_200,Kerkhoff,46,62,252,256,4,16,46,252,4,16,0.157232704402516,50,318,cult_other,19,who_then_xpert
cd4_less_200,Reeve,25,40,133,135,2,15,25,133,2,15,0.154285714285714,27,175,cult_other,23,who_then_xpert
cd4_less_200,Yoon,107,187,726,733,7,80,107,726,7,80,0.123913043478261,114,920,cult_other,20,who_then_xpert
cd4_high_200,Gersh,0,3,267,267,0,3,0,267,0,3,0,0,270,cult_other,1,who_then_xpert
cd4_high_200,Kerkhoff,13,24,157,159,2,11,13,157,2,11,0.0819672131147541,15,183,cult_other,13,who_then_xpert
cd4_high_200,Reeve,14,39,410,411,1,25,14,410,1,25,0.0333333333333333,15,450,cult_other,9,who_then_xpert
cd4_high_200,Yoon,24,45,557,560,3,21,24,557,3,21,0.0446280991735537,27,605,cult_other,7,who_then_xpert
pregnant,Kerkhoff,0,0,19,19,0,0,0,19,0,0,0,0,19,cult_other,0,who_then_xpert
pregnant,Yoon,1,2,41,41,0,1,1,41,0,1,0.0232558139534884,1,43,cult_other,5,who_then_xpert
all,Gersh,0,5,377,377,0,5,0,377,0,5,0,0,382,cult_other,1,crp10_then_xpert
all,Kerkhoff,53,86,410,416,6,33,53,410,6,33,0.117529880478088,59,502,cult_other,17,crp10_then_xpert
all,Reeve,50,89,599,601,2,39,50,599,2,39,0.0753623188405797,52,690,cult_other,13,crp10_then_xpert
all,Yoon,123,232,1288,1293,5,109,123,1288,5,109,0.0839344262295082,128,1525,cult_other,15,crp10_then_xpert
art,Gersh,0,5,373,373,0,5,0,373,0,5,0,0,378,cult_other,1,crp10_then_xpert
noart,Gersh,0,0,1,1,0,0,0,1,0,0,0,0,1,cult_other,0,crp10_then_xpert
noart,Kerkhoff,53,86,410,416,6,33,53,410,6,33,0.117529880478088,59,502,cult_other,17,crp10_then_xpert
noart,Reeve,50,89,599,601,2,39,50,599,2,39,0.0753623188405797,52,690,cult_other,13,crp10_then_xpert
noart,Yoon,123,232,1288,1293,5,109,123,1288,5,109,0.0839344262295082,128,1525,cult_other,15,crp10_then_xpert
cd4_less_200,Gersh,0,2,41,41,0,2,0,41,0,2,0,0,43,cult_other,5,crp10_then_xpert
cd4_less_200,Kerkhoff,43,62,252,256,4,19,43,252,4,19,0.147798742138365,47,318,cult_other,19,crp10_then_xpert
cd4_less_200,Reeve,28,40,133,135,2,12,28,133,2,12,0.171428571428571,30,175,cult_other,23,crp10_then_xpert
cd4_less_200,Yoon,100,187,728,733,5,87,100,728,5,87,0.114130434782609,105,920,cult_other,20,crp10_then_xpert
cd4_high_200,Gersh,0,3,267,267,0,3,0,267,0,3,0,0,270,cult_other,1,crp10_then_xpert
cd4_high_200,Kerkhoff,10,24,157,159,2,14,10,157,2,14,0.0655737704918033,12,183,cult_other,13,crp10_then_xpert
cd4_high_200,Reeve,15,39,411,411,0,24,15,411,0,24,0.0333333333333333,15,450,cult_other,9,crp10_then_xpert
cd4_high_200,Yoon,23,45,560,560,0,22,23,560,0,22,0.0380165289256198,23,605,cult_other,7,crp10_then_xpert
pregnant,Kerkhoff,0,0,19,19,0,0,0,19,0,0,0,0,19,cult_other,0,crp10_then_xpert
pregnant,Yoon,1,2,41,41,0,1,1,41,0,1,0.0232558139534884,1,43,cult_other,5,crp10_then_xpert
