author,n1,r1,p1,n2,r2,p2,id
Affolabi,2766,85,0.0307302964569776,2805,118,0.0420677361853832,all
Ahmad,611,57,0.0932896890343699,611,57,0.0932896890343699,all
Al Darraji,125,15,0.12,125,15,0.12,all
Balcha,809,124,0.15327564894932,812,137,0.16871921182266,all
Bjerrum,395,37,0.0936708860759494,395,40,0.10126582278481,all
Gersh,387,5,0.0129198966408269,387,8,0.020671834625323,all
Hanifa,351,64,0.182336182336182,351,64,0.182336182336182,all
Hoffmann,1404,35,0.0249287749287749,1404,35,0.0249287749287749,all
Kemper,102,12,0.117647058823529,103,15,0.145631067961165,all
Kerkhoff,522,89,0.170498084291188,523,95,0.181644359464627,all
Kufa,415,24,0.0578313253012048,415,24,0.0578313253012048,all
LaCourse,292,7,0.023972602739726,292,8,0.0273972602739726,all
Mbu,940,131,0.13936170212766,940,131,0.13936170212766,all
Modi,731,75,0.102599179206566,731,82,0.112175102599179,all
Nguyen,397,28,0.0705289672544081,397,28,0.0705289672544081,all
Rangaka,1429,126,0.0881735479356193,1429,126,0.0881735479356193,all
Reeve,796,93,0.116834170854271,807,100,0.123915737298637,all
Shapiro,425,42,0.0988235294117647,425,42,0.0988235294117647,all
Swindells,726,56,0.0771349862258953,726,56,0.0771349862258953,all
Thit,463,10,0.0215982721382289,463,30,0.0647948164146868,all
Yoon,1525,232,0.152131147540984,1525,242,0.158688524590164,all
Affolabi,2766,85,0.0307302964569776,2805,118,0.0420677361853832,all_clinical_setting
Ahmad,611,57,0.0932896890343699,611,57,0.0932896890343699,all_clinical_setting
Al Darraji,125,15,0.12,125,15,0.12,all_clinical_setting
Balcha,809,124,0.15327564894932,812,137,0.16871921182266,all_clinical_setting
Bjerrum,395,37,0.0936708860759494,395,40,0.10126582278481,all_clinical_setting
Gersh,384,5,0.0130208333333333,384,8,0.0208333333333333,all_clinical_setting
Hanifa,351,64,0.182336182336182,351,64,0.182336182336182,all_clinical_setting
Hoffmann,1404,35,0.0249287749287749,1404,35,0.0249287749287749,all_clinical_setting
Kemper,102,12,0.117647058823529,103,15,0.145631067961165,all_clinical_setting
Kerkhoff,522,89,0.170498084291188,523,95,0.181644359464627,all_clinical_setting
Kufa,415,24,0.0578313253012048,415,24,0.0578313253012048,all_clinical_setting
LaCourse,292,7,0.023972602739726,292,8,0.0273972602739726,all_clinical_setting
Mbu,940,131,0.13936170212766,940,131,0.13936170212766,all_clinical_setting
Modi,731,75,0.102599179206566,731,82,0.112175102599179,all_clinical_setting
Nguyen,397,28,0.0705289672544081,397,28,0.0705289672544081,all_clinical_setting
Rangaka,1429,126,0.0881735479356193,1429,126,0.0881735479356193,all_clinical_setting
Reeve,796,93,0.116834170854271,807,100,0.123915737298637,all_clinical_setting
Shapiro,425,42,0.0988235294117647,425,42,0.0988235294117647,all_clinical_setting
Swindells,726,56,0.0771349862258953,726,56,0.0771349862258953,all_clinical_setting
Thit,463,10,0.0215982721382289,463,30,0.0647948164146868,all_clinical_setting
Yoon,1525,232,0.152131147540984,1525,242,0.158688524590164,all_clinical_setting
Affolabi,1789,30,0.0167691447736165,1808,44,0.0243362831858407,art
Ahmad,423,24,0.0567375886524823,423,24,0.0567375886524823,art
Gersh,383,5,0.0130548302872063,383,8,0.02088772845953,art
Hoffmann,2,0,0,2,0,0,art
Kufa,210,8,0.0380952380952381,210,8,0.0380952380952381,art
LaCourse,159,4,0.0251572327044025,159,5,0.0314465408805031,art
Nguyen,230,15,0.0652173913043478,230,15,0.0652173913043478,art
Rangaka,775,42,0.0541935483870968,775,42,0.0541935483870968,art
Thit,338,9,0.0266272189349112,338,23,0.0680473372781065,art
Affolabi,977,55,0.0562947799385875,997,74,0.074222668004012,noart
Ahmad,188,33,0.175531914893617,188,33,0.175531914893617,noart
Balcha,809,124,0.15327564894932,812,137,0.16871921182266,noart
Bjerrum,395,37,0.0936708860759494,395,40,0.10126582278481,noart
Gersh,1,0,0,1,0,0,noart
Hanifa,351,64,0.182336182336182,351,64,0.182336182336182,noart
Hoffmann,1402,35,0.0249643366619116,1402,35,0.0249643366619116,noart
Kemper,102,12,0.117647058823529,103,15,0.145631067961165,noart
Kerkhoff,522,89,0.170498084291188,523,95,0.181644359464627,noart
Kufa,205,16,0.0780487804878049,205,16,0.0780487804878049,noart
LaCourse,133,3,0.0225563909774436,133,3,0.0225563909774436,noart
Mbu,940,131,0.13936170212766,940,131,0.13936170212766,noart
Modi,731,75,0.102599179206566,731,82,0.112175102599179,noart
Nguyen,167,13,0.0778443113772455,167,13,0.0778443113772455,noart
Rangaka,654,84,0.128440366972477,654,84,0.128440366972477,noart
Reeve,796,93,0.116834170854271,807,100,0.123915737298637,noart
Shapiro,425,42,0.0988235294117647,425,42,0.0988235294117647,noart
Swindells,726,56,0.0771349862258953,726,56,0.0771349862258953,noart
Thit,125,1,0.008,125,7,0.056,noart
Yoon,1525,232,0.152131147540984,1525,242,0.158688524590164,noart
Affolabi,2693,80,0.0297066468622354,2731,112,0.0410106188209447,all_cd4_count
Ahmad,611,57,0.0932896890343699,611,57,0.0932896890343699,all_cd4_count
Al Darraji,125,15,0.12,125,15,0.12,all_cd4_count
Balcha,804,124,0.154228855721393,807,137,0.169764560099133,all_cd4_count
Bjerrum,387,36,0.0930232558139535,387,39,0.10077519379845,all_cd4_count
Gersh,317,5,0.0157728706624606,317,6,0.0189274447949527,all_cd4_count
Hanifa,349,63,0.180515759312321,349,63,0.180515759312321,all_cd4_count
Hoffmann,1377,35,0.0254175744371823,1377,35,0.0254175744371823,all_cd4_count
Kemper,102,12,0.117647058823529,103,15,0.145631067961165,all_cd4_count
Kerkhoff,520,88,0.169230769230769,521,94,0.18042226487524,all_cd4_count
Kufa,415,24,0.0578313253012048,415,24,0.0578313253012048,all_cd4_count
LaCourse,242,6,0.0247933884297521,242,7,0.0289256198347107,all_cd4_count
Mbu,940,131,0.13936170212766,940,131,0.13936170212766,all_cd4_count
Modi,683,70,0.102489019033675,683,77,0.112737920937042,all_cd4_count
Nguyen,397,28,0.0705289672544081,397,28,0.0705289672544081,all_cd4_count
Rangaka,1429,126,0.0881735479356193,1429,126,0.0881735479356193,all_cd4_count
Reeve,715,83,0.116083916083916,726,90,0.12396694214876,all_cd4_count
Shapiro,411,40,0.097323600973236,411,40,0.097323600973236,all_cd4_count
Swindells,723,56,0.0774550484094053,723,56,0.0774550484094053,all_cd4_count
Thit,462,9,0.0194805194805195,462,29,0.0627705627705628,all_cd4_count
Yoon,1525,232,0.152131147540984,1525,242,0.158688524590164,all_cd4_count
Affolabi,345,28,0.0811594202898551,353,34,0.0963172804532578,cd4_less_100
Ahmad,88,17,0.193181818181818,88,17,0.193181818181818,cd4_less_100
Al Darraji,20,5,0.25,20,5,0.25,cd4_less_100
Balcha,159,36,0.226415094339623,159,40,0.251572327044025,cd4_less_100
Bjerrum,152,17,0.111842105263158,152,19,0.125,cd4_less_100
Gersh,11,0,0,11,0,0,cd4_less_100
Hanifa,137,22,0.160583941605839,137,22,0.160583941605839,cd4_less_100
Hoffmann,40,4,0.1,40,4,0.1,cd4_less_100
Kemper,49,9,0.183673469387755,49,9,0.183673469387755,cd4_less_100
Kerkhoff,136,35,0.257352941176471,136,37,0.272058823529412,cd4_less_100
Kufa,96,13,0.135416666666667,96,13,0.135416666666667,cd4_less_100
LaCourse,4,0,0,4,0,0,cd4_less_100
